"","X1ha.Plot.Number","Sampling.Period","Site.Name","siteyear","richness","shannon","berger","wd.nbsp","wd.sing.sp","wd.FEve","wd.FDis","wd.RaoQ","wd.wd","PD","SR","TEAM_mpd","TEAM_mpd_with_abundance","TEAM_mntd","phy_ent","TEAM_mntd_with_abundance","Species","D","Dstar","Lambda","Dplus","sd.Dplus","SDplus","ED","EDstar","EDplus","PlotBiomass.kg","PlotCarbon.tonnes","Reserve_size.sqkm","Continent","Country","Precip_mean.mm","Precip_CV","Elevation","Distance_to_forest_edge","Latitude","Longitude","Annual_Evapotranspiration"
"23","VG-BBS-4",2010.01,"Bukit Barisan","VG-BBS-4 2010.01",82,3.56612661,0.21633554,82,80,0.509991869728865,0.578147957062221,0.552996616073604,0.593777383741841,8754.910147,80,483.701438479114,434.669232467358,167.1539626875,3.10258296520558,160.401806777778,80,431.412149498669,461.253822170866,13611.0457679851,487.653691101899,9.82658098125309,39012.2952881519,496.530391750682,495.180387692304,495.397820021338,418867.8,230.38,3560,"Asia","Indonesia",2871.332897,0.145998519,197,1.7,-5.25,104.167,141.5625745
"24","VG-BBS-4",2011.01,"Bukit Barisan","VG-BBS-4 2011.01",82,3.56556131,0.21748401,82,80,0.50291164015644,0.570148647930838,0.541162502391536,0.594808897924385,8754.910147,80,483.701438479114,435.487261785095,167.1539626875,3.10729525616185,162.442761362661,80,429.49024071145,459.432093221851,13611.0457679851,487.653691101899,9.82658098125309,39012.2952881519,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","VG-BBS-4",2012.01,"Bukit Barisan","VG-BBS-4 2012.01",82,3.55489049,0.21694215,82,80,0.50383040935716,0.573318798934552,0.545261194061425,0.594236891112679,8754.910147,80,483.701438479114,437.161522643574,167.1539626875,3.0995336957478,164.710433735967,80,429.242390549186,459.446287609739,13611.0457679851,487.653691101899,9.82658098125309,39012.2952881519,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","VG-BBS-4",2013.01,"Bukit Barisan","VG-BBS-4 2013.01",85,3.57614686,0.21572581,85,82,0.482597712344506,0.570988363212838,0.540067852643581,0.594916536180518,9035.833346,83,487.744674776374,439.229701796741,165.066304566265,3.12590609479582,163.05339962069,83,429.699370795561,459.473988408856,13841.2798106017,489.117323347047,9.62648970380467,40596.7378378049,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","VG-BBS-4",2014.01,"Bukit Barisan","VG-BBS-4 2014.01",87,3.59106222,0.21314741,87,84,0.479881031668093,0.570184211257207,0.540907507390711,0.594218996455135,9123.101858,85,489.260195897479,441.37956815065,163.235768270588,3.1380560514539,163.438733172345,85,430.544146033658,459.887904273686,14163.1929472924,490.752054404482,9.49899668932931,41713.924624381,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","VG-BBS-4",2015.01,"Bukit Barisan","VG-BBS-4 2015.01",87,3.58605175,0.21499014,87,84,0.477114719482325,0.567462766663477,0.536892067292341,0.594283345679326,9123.101858,85,489.260195897479,440.893274880661,163.235768270588,3.13523476645389,163.853737486111,85,429.70351182247,459.389350521393,14163.1929472924,490.752054404482,9.49899668932931,41713.924624381,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","VG-BBS-5",2009.01,"Bukit Barisan","VG-BBS-5 2009.01",57,3.49351592,0.11261261,57,57,0.420876983541037,0.71927746163743,0.846788259529627,0.551417495662162,7062.136574,55,490.601566946801,465.483723124122,189.969208909091,3.20770622788675,168.563013730594,55,440.525147503247,460.450818637797,13653.2081585008,500.201024724579,12.0901096915129,27511.0563598519,496.530391750682,495.180387692304,495.397820021338,131824.13,72.5,3560,"Asia","Indonesia",2871.332897,0.145998519,66,1,NA,NA,NA
"30","VG-BBS-5",2010.01,"Bukit Barisan","VG-BBS-5 2010.01",58,3.49493275,0.11453744,58,58,0.424315722496684,0.714263533311485,0.8357037981892,0.550207124982379,7097.185593,56,491.430357011039,464.975562285874,184.073400267857,3.20458816947067,166.706561964286,56,441.714507545844,461.968156294334,14184.171546647,502.570062049351,11.9709167997873,28143.9234747636,496.530391750682,495.180387692304,495.397820021338,136455.82,75.05,3560,"Asia","Indonesia",2871.332897,0.145998519,66,1,-5.25,104.167,141.5625745
"31","VG-BBS-5",2011.01,"Bukit Barisan","VG-BBS-5 2011.01",58,3.4766831,0.12184874,58,58,0.416620625500685,0.716818759250942,0.833524283287054,0.548419795987395,7097.185593,56,491.430357011039,464.683011065351,184.073400267857,3.18781365193042,166.198896280851,56,441.180941536425,461.947141457938,14184.171546647,502.570062049351,11.9709167997873,28143.9234747636,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","VG-BBS-5",2012.01,"Bukit Barisan","VG-BBS-5 2012.01",58,3.47227474,0.132,58,58,0.426553325710725,0.712531386460924,0.832428326976128,0.54712201134,7097.185593,56,491.430357011039,462.033398216591,184.073400267857,3.17356256497924,165.977715663968,56,442.756500252987,464.176998315539,14184.171546647,502.570062049351,11.9709167997873,28143.9234747636,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","VG-BBS-5",2013.01,"Bukit Barisan","VG-BBS-5 2013.01",58,3.44457473,0.13358779,58,58,0.421063567029619,0.698224592312254,0.805849351832293,0.547138130629771,7097.185593,56,491.430357011039,458.669650263532,184.073400267857,3.13903460623796,162.815881177606,56,440.426565584688,462.695091115618,14184.171546647,502.570062049351,11.9709167997873,28143.9234747636,496.530391750682,495.180387692304,495.397820021338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
